"问题一：在某校班际篮球联赛中，每场⽐赛都要分出胜负，每队胜⼀场得3分，负⼀场得1分，如果某班要在第⼀轮的28场⽐赛中⾄少得43分，那么这个班⾄少要胜多少场？","8","问题二：假设这个班比其至少胜的场次多胜了2场，这个班一共得了多少分？","50"
"问题一：明明今年⼏岁? 爸爸今年39岁，他的年龄⽐明明的2倍多11岁","14","问题二：妈妈的年龄比明明的3倍少6岁，妈妈今年多少岁？","36"
"问题一：$\frac{2}{5}$的分⺟增加15，要使分数⼤⼩不变，分⼦应扩⼤几倍？","4","问题二：扩大后的分子减小了4，要使分数大小不变，分母应该变为什么？","10"
"问题一：⼀个商⼈把⼀件连⾐裙标价为640元，经⼯商⼈员核价，降⾄60元出售，仍可获利20%，如按原标价出售则⼀条裙⼦可获暴利多少元？","590","问题二：如果另商家能获得的利润为原价出售时的一半，应该让其以多少元出售一条裙子？","345"
"问题一：⼀元⼆次⽅程$x^{2}-8x=48$可表示成 $(x-a)^{2}=48+b$形式，其中a，b为整数，求a+b之值为？","20","问题二：根据问题一求出来的a和b，a-b的值为？","-12"
"问题一：已知圆的半径为$\sqrt{2}cm$，圆心到直线l的距离为1.4cm，则直线与圆的公共点数为？","2","问题二：如果圆心到直线l的距离增加为1.42cm，则直线与圆的公共点数为？","0"
"问题一：王先⽣到银⾏存了⼀笔三年期的定期存款，年利率是4.25%．若到期后取出得到本息（本⾦+利息）33825元．则王先⽣存⼊的本⾦为多少元？","30000"，"问题二：如果王先生本金增加1万元，则到期后取出得到本息多少元？","45100"
"问题一：福源鞋店进了25双⼉童鞋，每双进价20.2元，售货员阿姨以每双25元的价格售出，全部卖完这些鞋⼀共能赚多少钱","120","问题二：如果阿姨想要再多赚30元，则每双鞋应该以多少元出售？","26.2"
"问题一：某市⼀⽉份的平均⽓温是﹣2度，⼆⽉份的平均⽓温⽐⼀⽉份的升⾼了5度，该市⼆⽉份的平均⽓温是多少度","3","问题二：三⽉份的平均⽓温⽐二⽉份的升⾼了3度，该市三⽉份的平均⽓温是多少度","6"
"问题一：宝康⻝品⼚运回⼀批煤，原计划每天烧0.72吨，可以烧14天/改进炉灶后，实际每天少烧0.16吨，这批煤实际烧了多少天","18","问题二：如果实际烧了12天，则每天烧多少吨煤？","0.84"
"问题一：[3.4+3.6]*[4.5+4.5]的结果是？","63","问题二：问题一的结果减去[5.3+5.7]是多少？","52"
"问题一：在-2，-1，0，1这四个数中，最⼩的数是","-2","问题二：如果再加上-3、3、-1.1这三个数，则七个数中，最小的数是？","-3"
"问题一：⼩慧去花店购买鲜花，若买5⽀玫瑰和3⽀百合，则她所带的钱还剩下10元；若买3⽀玫瑰和5⽀百合，则她所带的钱还缺4元.若只买8⽀玫瑰，则她所带的钱还剩下","31","问题二：如果只买8⽀百合，则还差多少钱？","25"
"问题一：已知实数x、y满⾜$\sqrt{2x+y-1}+|x-2|=0$则x+y=?","-1","问题二：3x+5y=?","-9"
"问题一：⼀块正⽅形钢板上截去3cm宽的⻓⽅形钢条，剩下的⾯积是$54cm^{2}$，则原来这块钢板的⾯积是多少平方厘米？","81","问题二：如果截去4cm宽的⻓⽅形钢条，剩下的面积是多少平方厘米？","45"
"问题一：王⽼师准备⽤80元钱为年级获奖运动员买奖品，他先花48.6元买了9本笔记本，并准备⽤余下的钱买⼀些钢笔，钢笔每枝3.2元。王⽼师还可以买⼏枝钢笔","9","问题二：如果王老师用剩下的钱继续买笔记本，一共可以买多少本笔记本","14"
"问题一：4.803保留两位⼩数是多少","4.80","问题二：保留一位小数呢？","4.8"
"问题一：x=1 是关于 x 的⽅程 2x-a=0 的解，则 a 的值是","2","问题二：根据求得的a得知，x-a=5的解是？","7"
"问题一：16汽修（2）班总⼈数是50，其中喜欢蓝球的有21⼈，喜欢⽻⽑球的有19⼈，既不喜欢篮球⼜不喜欢⽻⽑球的有15⼈，那么既喜欢篮球⼜喜欢⽻⽑球的有⼏⼈","5","问题二：只喜欢篮球不喜欢羽毛球的有几人？","16"
"问题一：养禽场养鹅600只，养鸭的只数⽐鹅多50%，养禽场养鸭多少只？","900","问题二：养禽场养鸡比养鸭多50%，养禽场养鸡多少只？","1350"
